sample_id,context,label_value,label_name,resp_0,resp_1,resp_2,resp_3,resp_4,metric_averaged_cosine_similarity,metric_averaged_distinct_ngrams,metric_bert_score,metric_s_d,metric_s_d_norm,metric_s_s_d,metric_s_s_d_norm,metric_sent_bert,metric_t_s_d,metric_t_s_d_norm
test.sa-sb.sa-b::00718,John woke up on the beach not remembering who he was. John looked at his belongings. John found a car key. John used the car key to find out the car.,1.0,content_diversity,He found the car but did not recognise it.,The car beeped and he got into it but realised he couldn't remember how to drive.,John found the car and rifled through its contents for clues as to who he was.,He pushed the fob time and time again but could not find the car.,As he was trying to find the car he saw an angry mob and it looked like it was head towrds him.,-0.075,0.902,-0.300,2.307,0.461,4.970,0.994,-0.417,22.136,0.583
test.sa-sb.sa-b::00719,Sam went to his car from the store. He looked for his keys in his pocket. He couldn't find them. He looked around and then looked in the car.,1.0,content_diversity,it was there the whole time,it was still in the key slot,he lost it,he lost his cool,he realize it was in his hand,-0.080,0.891,-0.315,1.708,0.342,4.901,0.980,-0.273,8.075,0.807
test.sa-sb.sa-b::00719,Sam went to his car from the store. He looked for his keys in his pocket. He couldn't find them. He looked around and then looked in the car.,0.0,content_diversity,it was in the ignition,it was there in the whole time,the car was never turned off,the key was still inserted,the key was still in the slot,-0.139,0.825,-0.331,2.110,0.422,4.609,0.922,-0.420,8.939,0.745
test.sa-sb.sa-b::00720,Cayla is a beautiful girl even though she has a scar on her face. When she was a little girl she was running while wearing slippers. It was during the night and she didn't see the big rock on the ground. Her toe hit the rock and her face went slamming into the ground.,1.0,content_diversity,When she grew up she was delighted to find that men thought her scar made her even more beautiful.,It wasnt expensive to get the plastic surgery to get rid of the scar.,Having the scar got Cayla a part in a movie about a beautiful girl with a scar.,Cayla went through hell at school as other kids teased her about the scar.,Cayla was so obsessed about the scar she never left the house and died alone and isolated.,-0.050,0.917,-0.285,2.624,0.525,4.960,0.992,-0.369,19.945,0.443
test.sa-sb.sa-b::00723,I lost my job last winter. I was able to float on savings for a while. I was not able to find work for almost a year. I was forced to move out of my apartment.,0.0,content_diversity,"I host a movie night with popcorn, on my once-a-week, for my friends because I own nearly 1,000 movies.",One of my friends loves to make little British tea sandwiches and serves them on her once-a-week.,"My roommate loves to read books so we have a book reading, taking turns, then talk about the book, on her once-a-week.","On her once-a-week, one of my coworkers, who likes to draw, teaches how to draw and paint a cute picture",My roommate's friend likes photography so we all try to take a couple interesting picture and share them on her once-a week.,-0.056,0.919,-0.339,2.475,0.495,4.847,0.969,-0.415,38.260,0.510
test.sa-sb.sa-b::00724,"Dan turned 21 and his friends took him out to a bar. There, he had his first beer - and his first shot. But he knew it'd be easy to get a hangover. Dan was careful not to overdo it on his night out.",1.0,content_diversity,he was modest in his drinking,he got drunk anyhow,his friends keep buying him shots,he was not able to drive,he met a cute girl,-0.034,0.954,-0.231,2.447,0.489,4.989,0.998,-0.186,9.706,0.746
test.sa-sb.sa-b::00724,"Dan turned 21 and his friends took him out to a bar. There, he had his first beer - and his first shot. But he knew it'd be easy to get a hangover. Dan was careful not to overdo it on his night out.",0.0,content_diversity,he tried to moderate his drinking,he did not drink too much,he drink in moderation,he was drinking with control,he monitor his drinking,-0.066,0.926,-0.373,1.444,0.289,4.965,0.993,-0.610,9.268,0.843
test.sa-sb.sa-b::00725,I was at my cousin's house. And I wanted to walk to the mall. I thought I was familiar enough with the area. But I was lost for over an hour.,1.0,content_diversity,I got there eventually though.,I walked and walked and when I finally got there it was shut.,In the end I gave up and went back to my cousins house.,I am glad I didnt give up as when I got there they were giving away burgers!,A police car stopped and asked if I needed helo and they took me back to my cousins house.,-0.088,0.873,-0.219,2.387,0.477,4.942,0.988,-0.129,19.502,0.574
test.sa-sb.sa-b::00727,Mary had an online jewelry store that sold many different things. She wanted to make something new and exciting. After a lot of brainstorming she came up with a great idea. Her idea was to paint glass stones with nail polish and make pendants.,0.0,content_diversity,Her sales were very high.,She ended up doing it for years.,The pendants went for a high price.,She loved making them for a long time.,Customers loved them.,-0.028,0.945,-0.409,2.287,0.457,4.994,0.999,-0.454,10.052,0.529
test.sa-sb.sa-b::00728,Tom was in the war. He got injured and received a purple heart. When he returned home it was meaningless. Nobody really cared other than to feel sorry for him.,0.0,content_diversity,He wondered if he should have done something else in his life.,He regretted choosing the military.,The purple heart was not worth the pity.,He felt his life was one big mistake.,He accepted that he chose incorrectly.,-0.031,0.953,-0.383,2.216,0.443,4.992,0.998,-0.339,10.086,0.403
test.sa-sb.sa-b::00729,"Max was working on a speech for the upcoming school elections. He was running for school Treasurer, but was very nervous about it. He practiced his speech everyday. When election day came, Max gave the speech perfectly.",1.0,content_diversity,He was proud of himself.,Everyone liked the speech.,He won the Treasurer nomination.,He did well on vote count.,His speech won him more votes.,-0.024,0.962,-0.395,1.690,0.338,4.865,0.973,-0.432,9.039,0.565
test.sa-sb.sa-b::00730,Frank Ocean's album is to be released Friday. I don't believe it. He was supposed to release his album two years ago. He hasn't made music in that time period.,1.0,content_diversity,I hope he proves me wrong.,"Then again, maybe he has.",I don't think so at least.,I know him.,I know what he has done.,-0.054,0.927,-0.268,2.095,0.419,4.646,0.929,-0.263,10.476,0.655
test.sa-sb.sa-b::00730,Frank Ocean's album is to be released Friday. I don't believe it. He was supposed to release his album two years ago. He hasn't made music in that time period.,0.0,content_diversity,If I had to bet at least.,Just my opinion.,My person thoughts on it.,Only my personal vision on it.,I felt that way.,-0.020,0.958,-0.223,2.417,0.483,4.983,0.997,-0.357,9.975,0.712
test.sa-sb.sa-b::00731,I had my special cup on my desk. I accidentally bumped it. It fell and rolled over the edge. It hit the husky and bounced off.,1.0,content_diversity,it broke,it was durable,it made a loud sound,I was so nervous,I tried to catch it,-0.045,0.947,-0.271,2.644,0.529,4.873,0.975,-0.320,7.606,0.951
test.sa-sb.sa-b::00731,I had my special cup on my desk. I accidentally bumped it. It fell and rolled over the edge. It hit the husky and bounced off.,0.0,content_diversity,it did not break,it was strong,it was not easily broken,it lasted,it was in one piece,-0.095,0.898,-0.314,3.017,0.603,4.958,0.992,-0.537,6.201,0.886
test.sa-sb.sa-b::00734,Dan took his car to the drag strip. He decided to race anybody who wanted. Only a motorcycle accepted his challenge. They lined up and went off.,1.0,content_diversity,The motorcycle won the race.,As soon as it hit the first turn the motorcycle skidded off the road.,Dan won but it felt like cheating because he had a car.,The crowd cheered with excitement.,Dan was so embarrassed when his racing car did not start!,-0.019,0.962,-0.264,2.351,0.470,4.764,0.953,-0.217,12.585,0.466
test.sa-sb.sa-b::00734,Dan took his car to the drag strip. He decided to race anybody who wanted. Only a motorcycle accepted his challenge. They lined up and went off.,0.0,content_diversity,Dan felt humiliated because his engine wouldn't turn on.,When Dan realized that his car would not get started up he felt so ashamed.,He was shamefaced upon learning that his car was not going to start up.,"He turned the key to start the engine and nothing happened, leaving Dan humiliated.",He felt shame when he tried to rev the engine up and it would not start.,-0.057,0.901,-0.526,2.185,0.437,4.052,0.810,-0.751,21.041,0.501
test.sa-sb.sa-b::00735,"Today I took my motor scooter to the gas station to fill it with gas. Once it was filled, I tried to start it. It would not start. The man at the station gave me some oil to put in it.",1.0,content_diversity,My motor scooter still wouldn't start because the starter went out.,I ended having to take my scooter to a repair shop.,I always seem to have trouble with this scooter.,"I'm thinking about selling the scooter because I don't know how to work on it, myself.",I put the scooter in the garage because I'm tired of messing with it.,-0.049,0.941,-0.412,2.218,0.444,4.934,0.987,-0.471,16.690,0.477
test.sa-sb.sa-b::00735,"Today I took my motor scooter to the gas station to fill it with gas. Once it was filled, I tried to start it. It would not start. The man at the station gave me some oil to put in it.",0.0,content_diversity,The guy at the repair shop told me the engine needed rebuilding.,"I was lucky to find out it was just my battery, according to the repair guy.",I had to leave my scooter at the shop overnight so I still don't know what's wrong with it.,The repair guy said I should think about getting a new scooter because the repairs might be costly.,I told the repair guy I couldn't afford to pay much for repairs and he said it shouldn't be too much.,-0.067,0.911,-0.379,2.377,0.475,4.984,0.997,-0.396,24.827,0.507
test.sa-sb.sa-b::00736,Sarah was going to visit her friends in another state. She packed all her things for the trip in the car and set off. She drove for 12 hours before she arrived at her destination. Sarah was thrilled to see her friends again.,1.0,content_diversity,It was worth the effort.,All her friends were happy to see her.,Sarah's friend liked the reunion.,The hours of travel made it all worth it.,She hoped the time involved was going to be worth it.,-0.027,0.947,-0.364,2.172,0.434,4.974,0.995,-0.458,10.688,0.445
